Sender: LSF System <lsfadmin@e1014>
Subject: Job 7894025: <matlab -nodisplay -nojvm -singleCompThread -r CollabFilteringEvaluation> in cluster <euler> Done

Job <matlab -nodisplay -nojvm -singleCompThread -r CollabFilteringEvaluation> was submitted from host <euler04> by user <dojan> in cluster <euler>.
Job was executed on host(s) <e1014>, in queue <normal.4h>, as user <dojan> in cluster <euler>.
</cluster/home/dojan> was used as the home directory.
</cluster/home/dojan/cil/cil_2015_nstd_git/project/src> was used as the working directory.
Started at Wed Jun 10 11:41:36 2015
Results reported on Wed Jun 10 13:32:49 2015

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
matlab -nodisplay -nojvm -singleCompThread -r CollabFilteringEvaluation
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :               8484.95 sec.
    Max Memory :             695 MB
    Average Memory :         590.01 MB
    Total Requested Memory : 1024.00 MB
    Delta Memory :           329.00 MB
    (Delta: the difference between Total Requested Memory and Max Memory.)
    Max Swap :               2 MB
    Max Processes :          3
    Max Threads :            9

The output (if any) follows:


                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013b (8.2.0.701) 64-bit (glnxa64)
                              August 13, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
CompBias: l1 = 02, l2 = 36, RMSE: 0.997206
CompBias: l1 = 02, l2 = 37, RMSE: 0.997301
CompBias: l1 = 02, l2 = 38, RMSE: 0.997397
CompBias: l1 = 02, l2 = 39, RMSE: 0.997495
CompBias: l1 = 02, l2 = 40, RMSE: 0.997592
CompBias: l1 = 02, l2 = 41, RMSE: 0.997691
CompBias: l1 = 02, l2 = 42, RMSE: 0.997790
CompBias: l1 = 02, l2 = 43, RMSE: 0.997890
CompBias: l1 = 02, l2 = 44, RMSE: 0.997990
CompBias: l1 = 02, l2 = 45, RMSE: 0.998090
CompBias: l1 = 02, l2 = 46, RMSE: 0.998191
CompBias: l1 = 02, l2 = 47, RMSE: 0.998292
CompBias: l1 = 02, l2 = 48, RMSE: 0.998393
CompBias: l1 = 02, l2 = 49, RMSE: 0.998494
CompBias: l1 = 02, l2 = 50, RMSE: 0.998595
CompBias: l1 = 02, l2 = 51, RMSE: 0.998697
CompBias: l1 = 02, l2 = 52, RMSE: 0.998798
CompBias: l1 = 02, l2 = 53, RMSE: 0.998899
CompBias: l1 = 02, l2 = 54, RMSE: 0.999001
CompBias: l1 = 02, l2 = 55, RMSE: 0.999102
CompBias: l1 = 02, l2 = 56, RMSE: 0.999203
CompBias: l1 = 02, l2 = 57, RMSE: 0.999304
CompBias: l1 = 02, l2 = 58, RMSE: 0.999405
CompBias: l1 = 02, l2 = 59, RMSE: 0.999506
CompBias: l1 = 02, l2 = 60, RMSE: 0.999606
CompBias: l1 = 02, l2 = 61, RMSE: 0.999706
CompBias: l1 = 02, l2 = 62, RMSE: 0.999806
CompBias: l1 = 02, l2 = 63, RMSE: 0.999906
CompBias: l1 = 02, l2 = 64, RMSE: 1.000005
CompBias: l1 = 02, l2 = 65, RMSE: 1.000105
CompBias: l1 = 02, l2 = 66, RMSE: 1.000203
CompBias: l1 = 02, l2 = 67, RMSE: 1.000302
CompBias: l1 = 02, l2 = 68, RMSE: 1.000400
CompBias: l1 = 02, l2 = 69, RMSE: 1.000498
CompBias: l1 = 02, l2 = 70, RMSE: 1.000596
CompBias: l1 = 02, l2 = 71, RMSE: 1.000693
CompBias: l1 = 02, l2 = 72, RMSE: 1.000790
CompBias: l1 = 02, l2 = 73, RMSE: 1.000886
CompBias: l1 = 02, l2 = 74, RMSE: 1.000982
CompBias: l1 = 02, l2 = 75, RMSE: 1.001078
CompBias: l1 = 02, l2 = 76, RMSE: 1.001173
CompBias: l1 = 02, l2 = 77, RMSE: 1.001268
CompBias: l1 = 02, l2 = 78, RMSE: 1.001362
CompBias: l1 = 02, l2 = 79, RMSE: 1.001456
CompBias: l1 = 02, l2 = 80, RMSE: 1.001550
CompBias: l1 = 02, l2 = 81, RMSE: 1.001643
CompBias: l1 = 02, l2 = 82, RMSE: 1.001736
CompBias: l1 = 02, l2 = 83, RMSE: 1.001828
CompBias: l1 = 02, l2 = 84, RMSE: 1.001920
CompBias: l1 = 02, l2 = 85, RMSE: 1.002012
CompBias: l1 = 02, l2 = 86, RMSE: 1.002103
CompBias: l1 = 02, l2 = 87, RMSE: 1.002193
CompBias: l1 = 02, l2 = 88, RMSE: 1.002284
CompBias: l1 = 02, l2 = 89, RMSE: 1.002373
CompBias: l1 = 02, l2 = 90, RMSE: 1.002463
CompBias: l1 = 02, l2 = 91, RMSE: 1.002552
CompBias: l1 = 02, l2 = 92, RMSE: 1.002640
CompBias: l1 = 02, l2 = 93, RMSE: 1.002728
CompBias: l1 = 02, l2 = 94, RMSE: 1.002816
CompBias: l1 = 02, l2 = 95, RMSE: 1.002903
CompBias: l1 = 02, l2 = 96, RMSE: 1.002990
CompBias: l1 = 02, l2 = 97, RMSE: 1.003076
CompBias: l1 = 02, l2 = 98, RMSE: 1.003162
CompBias: l1 = 02, l2 = 99, RMSE: 1.003247
CompBias: l1 = 03, l2 = 00, RMSE: 0.997144
CompBias: l1 = 03, l2 = 01, RMSE: 0.996838
CompBias: l1 = 03, l2 = 02, RMSE: 0.996589
CompBias: l1 = 03, l2 = 03, RMSE: 0.996385
CompBias: l1 = 03, l2 = 04, RMSE: 0.996218
CompBias: l1 = 03, l2 = 05, RMSE: 0.996082
CompBias: l1 = 03, l2 = 06, RMSE: 0.995972
CompBias: l1 = 03, l2 = 07, RMSE: 0.995885
CompBias: l1 = 03, l2 = 08, RMSE: 0.995817
CompBias: l1 = 03, l2 = 09, RMSE: 0.995766
CompBias: l1 = 03, l2 = 10, RMSE: 0.995731
CompBias: l1 = 03, l2 = 11, RMSE: 0.995710
CompBias: l1 = 03, l2 = 12, RMSE: 0.995700
CompBias: l1 = 03, l2 = 13, RMSE: 0.995702
CompBias: l1 = 03, l2 = 14, RMSE: 0.995713
CompBias: l1 = 03, l2 = 15, RMSE: 0.995733
CompBias: l1 = 03, l2 = 16, RMSE: 0.995761
CompBias: l1 = 03, l2 = 17, RMSE: 0.995796
CompBias: l1 = 03, l2 = 18, RMSE: 0.995837
CompBias: l1 = 03, l2 = 19, RMSE: 0.995884
CompBias: l1 = 03, l2 = 20, RMSE: 0.995937
CompBias: l1 = 03, l2 = 21, RMSE: 0.995994
CompBias: l1 = 03, l2 = 22, RMSE: 0.996056
CompBias: l1 = 03, l2 = 23, RMSE: 0.996122
CompBias: l1 = 03, l2 = 24, RMSE: 0.996191
CompBias: l1 = 03, l2 = 25, RMSE: 0.996264
CompBias: l1 = 03, l2 = 26, RMSE: 0.996340
CompBias: l1 = 03, l2 = 27, RMSE: 0.996418
CompBias: l1 = 03, l2 = 28, RMSE: 0.996500
CompBias: l1 = 03, l2 = 29, RMSE: 0.996583
CompBias: l1 = 03, l2 = 30, RMSE: 0.996668
CompBias: l1 = 03, l2 = 31, RMSE: 0.996756
CompBias: l1 = 03, l2 = 32, RMSE: 0.996845
CompBias: l1 = 03, l2 = 33, RMSE: 0.996935
