K,Lambda,Gamma,Shrink,Epoch,Mean_RMSE,Std_RMSE
64,0.001000,0.020000,0.900000,50,0.993265,0.002487
64,0.001000,0.020000,0.925000,5,0.993645,0.002491
64,0.001000,0.020000,0.925000,10,0.993575,0.002490
64,0.001000,0.020000,0.925000,15,0.993393,0.002485
64,0.001000,0.020000,0.925000,20,0.993081,0.002476
64,0.001000,0.020000,0.925000,25,0.992686,0.002467
64,0.001000,0.020000,0.925000,30,0.992284,0.002460
64,0.001000,0.020000,0.925000,35,0.991930,0.002455
64,0.001000,0.020000,0.925000,40,0.991647,0.002452
64,0.001000,0.020000,0.925000,45,0.991433,0.002451
64,0.001000,0.020000,0.925000,50,0.991277,0.002451
64,0.001000,0.020000,0.950000,5,0.993644,0.002490
64,0.001000,0.020000,0.950000,10,0.993532,0.002490
64,0.001000,0.020000,0.950000,15,0.993055,0.002487
64,0.001000,0.020000,0.950000,20,0.991715,0.002480
64,0.001000,0.020000,0.950000,25,0.989334,0.002486
64,0.001000,0.020000,0.950000,30,0.986649,0.002525
64,0.001000,0.020000,0.950000,35,0.984517,0.002590
64,0.001000,0.020000,0.950000,40,0.983094,0.002656
64,0.001000,0.020000,0.950000,45,0.982163,0.002708
64,0.001000,0.020000,0.950000,50,0.981519,0.002747
64,0.001000,0.020000,0.975000,5,0.993642,0.002491
64,0.001000,0.020000,0.975000,10,0.993443,0.002500
64,0.001000,0.020000,0.975000,15,0.991904,0.002579
64,0.001000,0.020000,0.975000,20,0.986356,0.002716
64,0.001000,0.020000,0.975000,25,0.981505,0.002603
64,0.001000,0.020000,0.975000,30,0.978171,0.002534
64,0.001000,0.020000,0.975000,35,0.974619,0.002504
64,0.001000,0.020000,0.975000,40,0.971688,0.002563
64,0.001000,0.020000,0.975000,45,0.969532,0.002631
64,0.001000,0.020000,0.975000,50,0.967955,0.002666
64,0.001000,0.020000,1.000000,5,0.993639,0.002491
64,0.001000,0.020000,1.000000,10,0.993292,0.002481
64,0.001000,0.020000,1.000000,15,0.988696,0.002422
64,0.001000,0.020000,1.000000,20,0.979692,0.002632
64,0.001000,0.020000,1.000000,25,0.972190,0.002754
64,0.001000,0.020000,1.000000,30,0.966855,0.002716
64,0.001000,0.020000,1.000000,35,0.963483,0.002543
64,0.001000,0.020000,1.000000,40,0.961582,0.002441
64,0.001000,0.020000,1.000000,45,0.960872,0.002417
64,0.001000,0.020000,1.000000,47,0.964103,0.000054
64,0.001000,0.020000,1.000000,48,0.958837,0.000815
64,0.001000,0.020000,1.000000,49,0.960031,0.000892
64,0.001000,0.020000,1.000000,50,0.961822,0.002653
64,0.001000,0.050000,0.750000,5,0.993655,0.002491
64,0.001000,0.050000,0.750000,7,0.993562,0.002505
64,0.001000,0.050000,0.750000,8,0.994020,0.002399
64,0.001000,0.050000,0.775000,5,0.993653,0.002490
64,0.001000,0.050000,0.775000,9,0.994337,0.002561
64,0.001000,0.050000,0.775000,10,0.992962,0.002215
64,0.001000,0.050000,0.800000,5,0.993653,0.002489
64,0.001000,0.050000,0.800000,10,0.993644,0.002489
64,0.001000,0.050000,0.800000,11,0.992632,0.000701
64,0.001000,0.050000,0.800000,12,0.993282,0.002217
64,0.001000,0.050000,0.800000,13,0.994510,0.002988
64,0.001000,0.050000,0.825000,5,0.993653,0.002491
64,0.001000,0.050000,0.825000,10,0.993642,0.002490
64,0.001000,0.050000,0.825000,15,0.993635,0.002490
64,0.001000,0.050000,0.825000,16,0.994036,0.002349
64,0.001000,0.050000,0.850000,5,0.993652,0.002490
64,0.001000,0.050000,0.850000,10,0.993636,0.002489
64,0.001000,0.050000,0.850000,15,0.993622,0.002489
64,0.001000,0.050000,0.850000,20,0.993614,0.002489
64,0.001000,0.050000,0.850000,21,0.993606,0.002147
64,0.001000,0.050000,0.850000,22,0.992815,0.003125
