K,Lambda,Gamma,Shrink,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
64,0.005000,0.020000,0.900000,0.946713,0.002282,154.657432,3.421404
64,0.005000,0.020000,0.925000,0.946248,0.002192,94.124799,3.109089
64,0.005000,0.020000,0.950000,0.946976,0.002224,57.527049,1.850023
64,0.005000,0.020000,0.975000,0.947701,0.002122,46.907971,0.910359
64,0.005000,0.020000,1.000000,0.948020,0.002146,40.807599,0.551198
64,0.005000,0.050000,0.750000,0.970890,0.002574,93.538886,2.098731
64,0.005000,0.050000,0.775000,0.969338,0.002608,104.933087,1.804720
64,0.005000,0.050000,0.800000,0.967202,0.002536,119.480677,3.133863
64,0.005000,0.050000,0.825000,0.964902,0.002558,135.481579,1.742965
64,0.005000,0.050000,0.850000,0.961974,0.002474,153.842487,2.583516
64,0.005000,0.050000,0.875000,0.958409,0.002431,154.612696,2.297300
64,0.005000,0.050000,0.900000,0.954328,0.002326,154.309494,2.920248
64,0.005000,0.050000,0.925000,0.949763,0.002354,155.622989,3.803687
64,0.005000,0.050000,0.950000,0.945560,0.002307,153.310844,4.242370
64,0.005000,0.050000,0.975000,0.945981,0.002235,99.007478,2.334230
64,0.005000,0.050000,1.000000,0.947366,0.002177,69.593048,1.681704
64,0.005000,0.100000,0.750000,0.977664,0.002656,90.637035,2.420820
64,0.005000,0.100000,0.775000,0.976491,0.002682,102.190463,1.605767
64,0.005000,0.100000,0.800000,0.975226,0.002656,114.293416,1.676870
64,0.005000,0.100000,0.825000,0.973558,0.002608,129.631330,2.185923
64,0.005000,0.100000,0.850000,0.971718,0.002613,149.830355,2.005468
64,0.005000,0.100000,0.875000,0.969279,0.002547,153.868644,3.136220
64,0.005000,0.100000,0.900000,0.966123,0.002554,154.344620,2.669452
64,0.005000,0.100000,0.925000,0.961662,0.002505,153.817700,2.056310
64,0.005000,0.100000,0.950000,0.956096,0.002494,154.345528,1.871530
64,0.005000,0.100000,0.975000,0.950760,0.002326,153.873606,2.220701
64,0.005000,0.100000,1.000000,0.950568,0.002444,127.331625,2.121829
64,0.010000,0.001000,0.750000,0.953155,0.002029,29.817318,1.322587
64,0.010000,0.001000,0.775000,0.953611,0.002097,25.089361,1.304065
64,0.010000,0.001000,0.800000,0.953945,0.002029,22.455187,0.327017
64,0.010000,0.001000,0.825000,0.954547,0.002100,19.526921,0.372178
64,0.010000,0.001000,0.850000,0.954767,0.002182,19.524517,0.283217
64,0.010000,0.001000,0.875000,0.955548,0.002124,17.848965,1.565358
64,0.010000,0.001000,0.900000,0.955674,0.002322,16.472213,0.898200
64,0.010000,0.001000,0.925000,0.955941,0.001908,16.284114,0.431307
64,0.010000,0.001000,0.950000,0.956388,0.002038,16.176065,0.336369
64,0.010000,0.001000,0.975000,0.956969,0.002060,16.199831,0.245220
64,0.010000,0.001000,1.000000,0.957683,0.002328,15.539310,1.267102
64,0.010000,0.002000,0.750000,0.952063,0.002141,74.557688,26.717312
64,0.010000,0.002000,0.775000,0.952871,0.002015,26.768252,1.472453
64,0.010000,0.002000,0.800000,0.953431,0.001946,22.508641,0.461623
64,0.010000,0.002000,0.825000,0.954012,0.002074,21.569127,1.444260
