K,Lambda,Gamma,Shrink,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
64,0.005000,0.010000,0.750000,0.956612,0.002407,11.727398,1.531833
64,0.005000,0.010000,0.775000,0.956677,0.002541,11.330727,2.007295
64,0.005000,0.010000,0.800000,0.956532,0.002556,11.288330,1.872413
64,0.005000,0.010000,0.825000,0.956531,0.002514,11.194769,1.966493
64,0.005000,0.010000,0.850000,0.956521,0.002361,11.334853,1.212587
64,0.005000,0.010000,0.875000,0.956662,0.002519,10.472322,0.504928
64,0.005000,0.010000,0.900000,0.956543,0.002384,11.369185,2.007136
64,0.005000,0.010000,0.925000,0.956846,0.002466,10.480781,0.518799
64,0.005000,0.010000,0.950000,0.956716,0.002495,10.494533,0.510955
64,0.005000,0.010000,0.975000,0.956729,0.002543,12.749147,2.705484
64,0.005000,0.010000,1.000000,0.956910,0.002554,10.518427,0.499317
64,0.005000,0.020000,0.750000,0.954159,0.002327,13.667106,0.621063
64,0.005000,0.020000,0.775000,0.954257,0.002378,14.816255,2.641805
64,0.005000,0.020000,0.800000,0.954472,0.002363,16.180055,3.481017
64,0.005000,0.020000,0.825000,0.954693,0.002238,14.188233,1.351237
64,0.005000,0.020000,0.850000,0.954981,0.002295,12.562740,1.789527
64,0.005000,0.020000,0.875000,0.955298,0.002405,11.964169,1.446009
64,0.005000,0.020000,0.900000,0.955238,0.002454,12.794126,2.686420
64,0.005000,0.020000,0.925000,0.955239,0.002570,10.413771,0.505282
64,0.005000,0.020000,0.950000,0.955176,0.002552,11.099128,1.489075
64,0.005000,0.020000,0.975000,0.955144,0.002555,11.252467,1.925362
64,0.005000,0.020000,1.000000,0.954980,0.002521,14.257105,3.455297
64,0.005000,0.050000,0.750000,0.947744,0.002326,69.124234,5.873284
64,0.005000,0.050000,0.775000,0.947738,0.002300,61.117326,15.451074
64,0.005000,0.050000,0.800000,0.947856,0.002333,43.917520,10.304782
64,0.005000,0.050000,0.825000,0.947981,0.002358,30.635898,4.685889
64,0.005000,0.050000,0.850000,0.948124,0.002316,30.217867,6.484460
64,0.005000,0.050000,0.875000,0.948350,0.002245,23.820120,1.548046
64,0.005000,0.050000,0.900000,0.948435,0.002269,24.055134,5.713414
64,0.005000,0.050000,0.925000,0.948580,0.002379,23.432701,3.843847
64,0.005000,0.050000,0.950000,0.948714,0.002252,22.461447,3.651162
64,0.005000,0.050000,0.975000,0.948984,0.002296,20.770146,4.447531
64,0.005000,0.050000,1.000000,0.948977,0.002346,17.894676,1.321820
